Name	Might	Scores
Cherednychenko	177857	2502
Crazy-men	209197	2489
Iron30	193016	2483
kukser	163432	2452
var.as	164540	2425
ola9824	159602	2411
pathogenUS	164130	2341
Tapaкан	165748	2329
IIcUxoBaNuu	146407	2276
Суворов7	265061	3107
мцырь	263375	3097
явас	259420	3072
хХхВанях	255529	3047
Vladimir_4195	247590	2997
igor.b.	258178	2876
cheeznic	214403	2751
balistik	204743	2730
Светлов))	200127	2700
DorianImortal	188973	2263
злойприк	183519	2246
Rostislav185	161274	2238
Beer4uk	128552	2175
memon.666	181147	2546
Mifestovel	140229	2169
andrysmith	151646	2119
diamm	137774	2091
nag1bat0r	118011	2090
Yakub	120759	2054
dkfifj	163010	2037
SSHADOW333	185563	2017
iron_force_ua	106305	2016
hpekmek	150905	2005
hol@vn	134472	1987
Ben_ten	125793	1977
Elena_arz	127887	1975
pak0pak	174135	1834
макс19912011	123123	1800
a_palya	159105	1792
hfffg	108743	1660
Рrіzrak	102118	1605
каак	65699	1554
11cc11	103361	1553
zddok	102245	1535
Alastyel	84860	1521
(Ілідан)	104956	1501
Даня.ua	105767	1473
ZBIG82	100922	1453
-=чикабум	41972	1075
Серго=)	106830	0
